;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Pumped storage;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Solid biofuels;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Renewable municipal waste;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Liquid biofuels;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Biogas;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Geothermal energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
